key,units1
Pemberontakan DI/TII di Aceh,""
Pertempuran Lima Hari,Pemuda Indonesia
Pertempuran Bojong Kokosan,""
Pertempuran Lengkong,""
Bandung Lautan Api,Tentara Republik Indonesia
Perang Cumbok,""
Delapan Jam Pertempuran di Mangkang,""
Puputan Margarana,Batalyon Ciung Wanara
Perang Dayak Desa,""
Gerakan 30 September,
Kampanye Kalimantan (1945),""
Pertempuran Medan Area,Tentara Keamanan Rakyat
Serangan Umum Surakarta,Brigade V/Panembahan Senopati
Serangan Umum 1 Maret 1949,Tentara Republik Indonesia
Penyerbuan Kotabaru Yogyakarta,""
Pertempuran Surabaya,"TKR Surabaya, Sidoarjo, Gresik"
Peristiwa 19 November,""
Peristiwa Tiga Maret,""
Pertempuran Kumai,""
Revolusi Nasional Indonesia,BKR/TKR/TRI/TNI: 150.000
Kampanye Hindia Belanda,"148.000 pasukan: 40.000 pasukan Belanda, 100.000 pasukan lokal, 8.000 pasukan Anglo-Amerika"
Operasi 17 Agustus,"6.500 Personel TNI AD, AL, AU"
Konflik Papua,Tentara Nasional Indonesia
Pertempuran Lima Hari,BKR
Pertempuran Lima Hari,Polisi
Bandung Lautan Api,Barisan Rakyat Indonesia
Pertempuran Medan Area,Milisi
Serangan Umum Surakarta,MBB Brimob
Serangan Umum Surakarta,MBK Brimob Karesidenan
Serangan Umum Surakarta,Kompi Zeni TP atau TGP
Serangan Umum Surakarta,Detasemen TP Brigade XVII
Serangan Umum 1 Maret 1949,Kepolisian Negara Republik Indonesia
Pertempuran Surabaya,Barisan Pemberontakan Rakyat Indonesia
Pertempuran Surabaya,Polisi Istimewa Surabaya
Revolusi Nasional Indonesia,"Laskar rakyat: diperkirakan 60,000"
Revolusi Nasional Indonesia,"Relawan Muda: 100,000"
Revolusi Nasional Indonesia,"Relawan Jepang: 1,000"
Revolusi Nasional Indonesia,Desertir India: 600
Kampanye Hindia Belanda,33 kapal perang
Kampanye Hindia Belanda,41 kapal selam
Kampanye Hindia Belanda,234 pesawat terbang
Konflik Papua,Kodam XVII/Cenderawasih
Konflik Papua,Kodam XVIII/Kasuari
Konflik Papua,Kepolisian Negara Republik Indonesia
Konflik Papua,Barisan Merah Putih
Konflik Papua,Warga sipil pro-Indonesia
